Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,soilType,averageTemp,averageHum,seedNum,block,germinated,escape,lesionPercent,rootLength,rootMass,averageInocLength,averageInocMass,averageLengthPedigreeByIsolate,averageMassPedigreeByIsolate,percentLengthPedByIsolate,percentMassPedByIsolate,notes,averageDiseasePerSpeciesPerLine,diseasePercentStd
241,,CML277,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,7,4,0,0,100,0,0,103.8306944,0.044626389,0,0,0,0,,100,1.300813008
250,,CML277,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,8,4,0,0,100,0,0,103.8306944,0.044626389,0,0,0,0,,100,1.300813008
279,,CML277,14,rep2,G.i,sandcornmeal,G.irregulare,na,BM2,78.1,62.7,15,4,0,0,100,0,0,108.5511111,0.043136111,45.095,0.0135,0,0,,81.25,1.300813008
288,,CML277,14,rep2,G.i,sandcornmeal,G.irregulare,na,BM2,78.1,62.7,16,4,0,0,100,0,0,108.5511111,0.043136111,45.095,0.0135,0,0,,81.25,1.300813008
204,,CML277,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,23,4,0,0,100,0,0,107.5455556,0.043795833,0,0,0,0,,100,1.300813008
213,,CML277,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,24,4,0,0,100,0,0,107.5455556,0.043795833,0,0,0,0,,100,1.300813008
209,,CML333,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,24,4,0,0,100,0,0,107.5455556,0.043795833,156.1375,0.0743125,0,0,,14.375,5.333333333
235,,H100,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,7,4,0,0,100,0,0,103.8306944,0.044626389,80.99375,0.037625,0,0,,63.125,6.666666667
244,,H100,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,8,4,0,0,100,0,0,103.8306944,0.044626389,80.99375,0.037625,0,0,,63.125,6.666666667
278,,H100,14,rep2,G.i,sandcornmeal,G.irregulare,na,BM2,78.1,62.7,15,4,0,0,100,0,0,108.5511111,0.043136111,95.42,0.044875,0,0,,56.875,6.666666667
201,,H100,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,23,4,0,0,100,0,0,107.5455556,0.043795833,129.17125,0.05465,0,0,,43.625,6.666666667
247,,Ms71,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,8,4,0,0,100,0,0,103.8306944,0.044626389,95.17,0.0224,0,0,,65.625,2.025316456
271,,Ms71,14,rep2,G.i,sandcornmeal,G.irregulare,na,BM2,78.1,62.7,15,4,0,0,100,0,0,108.5511111,0.043136111,61.38375,0.01515,0,0,,78.75,2.025316456
203,,Ms71,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,23,4,0,0,100,0,0,107.5455556,0.043795833,91.3,0.035875,0,0,,57.5,2.025316456
212,,Ms71,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,24,4,0,0,100,0,0,107.5455556,0.043795833,91.3,0.035875,0,0,,57.5,2.025316456
252,,NC304,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,8,4,0,0,100,0,0,103.8306944,0.044626389,142.23625,0.0568125,0,0,,25.625,8
249,,NC344,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,8,4,0,0,100,0,0,103.8306944,0.044626389,121.93875,0.0702375,0,0,,31.25,10.66666667
199,,NC344,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,23,4,0,0,100,0,0,107.5455556,0.043795833,145.07125,0.0584875,0,0,,31.875,10.66666667
236,,Oh7B,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,7,4,0,0,100,0,0,103.8306944,0.044626389,0,0,0,0,,100,2.388059701
245,,Oh7B,14,rep2,G.a,sandcornmeal,G.aphanidermatum,na,BM2,78.1,62.7,8,4,0,0,100,0,0,103.8306944,0.044626389,0,0,0,0,,100,2.388059701
282,,Oh7B,14,rep2,G.i,sandcornmeal,G.irregulare,na,BM2,78.1,62.7,16,4,0,0,100,0,0,108.5511111,0.043136111,84.695,0.0098625,0,0,,81.875,2.388059701
207,,Oh7B,14,rep2,G.uu,sandcornmeal,G.ultimumvar.ultimum,na,BM2,78.1,62.7,23,4,0,0,100,0,0,107.5455556,0.043795833,36.475,0.005875,0,0,,93.125,2.388059701
