Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,notes
36,,Oh7B,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,7,4,0,0,0,0,100,0,0,
47,,Oh7B,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BMDI,11,6,0,0,0,0,100,0,0,
70,,Oh7B,14,rep3,control,MockInoc,control,na,BMDI,4,2,1,1,0,0,0,167.44,0.118,
88,,Oh7B,14,rep3,control,MockInoc,control,na,BMDI,8,4,1,1,0,0,0,192.28,0.0941,
100,,Oh7B,14,rep3,control,MockInoc,control,na,BMDI,12,6,1,1,0,0,0,185.54,0.1444,
29,,B73,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,4,2,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
15,,B73,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,2,1,1,1,1,0,40,134.34,0.0429,
105,,B73,16,rep1,control,MockInoc,control,na,VO,12,6,1,1,1,0,40,124.5,0.0731,
69,,B73,16,rep1,control,MockInoc,control,na,VO,8,4,1,1,1,0,50,86.78,0.009,
85,,B73,16,rep1,control,MockInoc,control,na,VO,10,5,0,0,1,0,80,13.79,0.0012,
50,,B73,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,6,3,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
35,,CML103,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,4,2,0,0,1,0,70,153.56,0.0178,
107,,CML103,16,rep1,control,MockInoc,control,na,VO,12,6,1,1,1,0,85,146.9,0.0284,
86,,CML103,16,rep1,control,MockInoc,control,na,VO,10,5,1,1,1,0,95,10.03,0.0005,
10,,CML103,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,2,1,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
46,,CML103,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,6,3,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
70,,CML103,16,rep1,control,MockInoc,control,na,VO,8,4,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
71,,CML277,16,rep1,control,MockInoc,control,na,VO,8,4,1,1,1,0,10,262.98,0.1305,
36,,CML277,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,VO,4,2,1,1,1,0,75,63.67,0.0014,
108,,CML277,16,rep1,control,MockInoc,control,na,VO,12,6,1,1,1,0,80,36.43,0.0033,
