Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,notes
3,,B73,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,5,180.06,0.1213,
26,,B73,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,0,0,5,173.41,0.1631,
38,,B73,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,0,0,0,0,80,42.09,0.0092,
55,,B73,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,0,0,158.57,0.0828,
80,,B73,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,183.94,0.0954,
94,,B73,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,0,176.68,0.1417,
8,,CML103,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,5,185.47,0.1279,
24,,CML103,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,0,0,0,0,100,0,0,
39,,CML103,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,1,1,0,0,0,168.2,0.1397,
56,,CML103,14,rep3,control,MockInoc,control,na,BM2,2,1,0,0,0,0,100,0,0,
79,,CML103,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,171.44,0.1431,
97,,CML103,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,0,171.61,0.1525,
2,,CML277,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,80,151.32,0.0517,
20,,CML277,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,0,0,60,140.88,0.045,
43,,CML277,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,0,0,0,0,100,0,0,
60,,CML277,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,0,10,181.41,0.0852,
73,,CML277,14,rep3,control,MockInoc,control,na,BM2,6,3,0,0,0,0,50,164.89,0.054,
95,,CML277,14,rep3,control,MockInoc,control,na,BM2,10,5,0,0,0,0,100,0,0,
1,,CML333,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,5,172.69,0.1612,
22,,CML333,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,0,0,0,0,100,0,0,
44,,CML333,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,0,0,0,0,100,0,0,
58,,CML333,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,0,0,194.29,0.1372,
76,,CML333,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,185.82,0.0916,
98,,CML333,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,0,163.94,0.1134,
9,,H100,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,10,174.92,0.0953,
23,,H100,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,0,0,0,0,100,0,0,
41,,H100,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,1,1,0,0,0,178.51,0.117,
57,,H100,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,0,0,176.83,0.1926,
77,,H100,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,178.12,0.1095,
99,,H100,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,0,173.38,0.0841,
5,,Il14H,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,5,175.23,0.0952,
27,,Il14H,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,0,0,0,0,100,0,0,
37,,Il14H,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,0,0,0,0,100,0,0,
62,,Il14H,14,rep3,control,MockInoc,control,na,BM2,2,1,0,0,0,0,100,0,0,
78,,Il14H,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,204.8,0.1803,
92,,Il14H,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,0,194.66,0.1044,
7,,Ms71,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,20,185.45,0.0892,
25,,Ms71,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,0,0,0,190.34,0.1616,
40,,Ms71,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,0,0,0,0,100,0,0,
63,,Ms71,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,0,0,184.86,0.1254,
81,,Ms71,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,0,0,186.24,0.0998,
93,,Ms71,14,rep3,control,MockInoc,control,na,BM2,10,5,1,1,0,0,5,167.64,0.0732,
6,,NC304,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,0,0,5,169.27,0.0488,
19,,NC304,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,0,0,0,181.1,0.0974,
42,,NC304,14,rep3,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,9,5,1,1,0,0,0,165.72,0.0983,
59,,NC304,14,rep3,control,MockInoc,control,na,BM2,2,1,1,1,0,1,0,191.4,0.1164,
74,,NC304,14,rep3,control,MockInoc,control,na,BM2,6,3,1,1,0,1,0,185.73,0.151,
