Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,percentLengthPedByIsolate,percentMassPedByIsolate
136,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,17,6,1,1,1,0,5,193.27,0.1042,0,0
144,,CML103,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,18,6,1,1,1,0,65,92.98,0.0262,0,0
35,,CML277,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,4,2,0,0,0,0,100,0,0,0,0
43,,CML277,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,5,3,0,0,0,0,100,0,0,0,0
17,,CML277,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,3,2,0,0,0,0,100,0,0,0,0
31,,CML277,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,7,4,0,0,0,0,100,0,0,0,0
51,,CML277,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,6,0,0,0,0,100,0,0,0,0
107,,CML333,14,GH2,control,MockInoc,Standard,na,BMDI,12,6,1,1,0,0,0,172.41,0.118,0,0
63,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,8,3,1,1,1,0,0,187.73,0.1251,0,0
68,,CML333,12,GH3,control,MockInoc,Standard,na,BMDI,9,3,1,1,1,0,0,177.01,0.0824,0,0
137,,CML333,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,18,6,1,1,1,0,50,85.16,0.0411,0,0
46,,H100,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,6,1,1,0,0,5,144.56,0.0774,0,0
66,,H100,12,GH3,control,MockInoc,Standard,na,BMDI,9,3,1,1,1,0,5,171.69,0.0835,0,0
134,,H100,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,17,6,1,1,1,0,55,140.17,0.0592,0,0
139,,H100,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,18,6,1,1,1,0,5,181.72,0.0766,0,0
98,,Il14H,14,GH1,control,MockInoc,Standard,na,BMDI,11,6,0,0,0,0,100,0,0,0,0
32,,Il14H,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,4,2,0,0,1,0,70,76.02,0.0112,0,0
38,,Il14H,14,GH1,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,5,3,0,0,0,0,100,0,0,0,0
85,,Il14H,14,GH2,control,MockInoc,Standard,na,BMDI,8,4,0,0,0,0,100,0,0,0,0
104,,Il14H,14,GH2,control,MockInoc,Standard,na,BMDI,12,6,1,1,0,0,0,179.63,0.072,0,0
16,,Il14H,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,3,2,0,0,0,0,100,0,0,0,0
33,,Il14H,14,GH2,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,7,4,0,0,0,0,100,0,0,0,0
11,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,2,1,0,0,0,0,100,0,0,0,0
17,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,3,1,1,0,1,0,0,194.44,0.0184,0,0
31,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,4,2,0,0,0,0,100,0,0,0,0
34,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,5,2,0,0,0,0,100,0,0,0,0
46,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,6,2,0,0,0,0,100,0,0,0,0
53,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,7,3,0,0,0,0,100,0,0,0,0
61,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,8,3,0,0,0,0,100,0,0,0,0
65,,Il14H,12,GH3,control,MockInoc,Standard,na,BMDI,9,3,0,0,0,0,100,0,0,0,0
74,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,10,4,0,0,0,0,100,0,0,0,0
84,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,11,4,0,0,0,0,100,0,0,0,0
89,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,12,4,0,0,0,0,100,0,0,0,0
110,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,14,5,0,0,0,0,100,0,0,0,0
115,,Il14H,12,GH3,17PR016B.1,GuuCornmeal,G.uu,na,BMDI,15,5,0,0,0,0,100,0,0,0,0
